transaction_id;date;produit;quantite;prix_unitaire;client_id;ville;region;canal_vente;mode_paiement;statut;montant_total
TXN000001;01/01/2023 00:00;Arachide;59;1259;CLI0189;Lomé;Maritime;Marché local;Espèces;Livrée;74281
TXN000002;01/01/2023 02:00;Arachide;2;2013;CLI0480;Kara;Kara;Coopérative;Chèque;Retardée;4026
TXN000003;01/01/2023 04:00;Haricot;95;2048;CLI0383;Niamtougou;Kara;Grossiste;Chèque;Livrée;194560
TXN000004;01/01/2023 06:00;Sorgho;62;1490;CLI0322;Lomé;Maritime;Export;Espèces;Livrée;92380
TXN000005;01/01/2023 08:00;Arachide;49;2387;CLI0443;Niamtougou;Kara;Export;Crédit;Livrée;116963
TXN000006;01/01/2023 10:00;Manioc;20;266;CLI0490;Cinkassé;Savanes;Vente directe;Virement;Livrée;5320
TXN000007;01/01/2023 12:00;Maïs;29;1214;CLI0133;Kara;Kara;Marché local;Chèque;Livrée;35206
TXN000008;01/01/2023 14:00;Arachide;17;1753;CLI0426;Kara;Kara;Vente directe;Crédit;En cours;29801
TXN000009;01/01/2023 16:00;Soja;74;1592;CLI0250;Tchamba;Centrale;Vente directe;Espèces;En cours;117808
TXN000010;01/01/2023 18:00;Manioc;22;1901;CLI0061;Niamtougou;Kara;Export;Virement;Livrée;41822
TXN000011;01/01/2023 20:00;Arachide;6;778;CLI0422;Lomé;Maritime;Grossiste;Virement;Livrée;4668
TXN000012;01/01/2023 22:00;Igname;62;1805;CLI0476;Lomé;Maritime;Coopérative;Crédit;En cours;111910
TXN000013;02/01/2023 00:00;Igname;98;1426;CLI0223;Tchamba;Centrale;Vente directe;Mobile Money;Livrée;139748
TXN000014;02/01/2023 02:00;Riz;31;2158;CLI0438;Cinkassé;Savanes;Grossiste;Mobile Money;Livrée;66898
TXN000015;02/01/2023 04:00;Soja;62;2178;CLI0384;Aného;Maritime;Vente directe;Mobile Money;Annulée;135036
TXN000016;02/01/2023 06:00;Haricot;12;609;CLI0319;Kpalimé;Plateaux;Grossiste;Espèces;Livrée;7308
TXN000017;02/01/2023 08:00;Haricot;12;1911;CLI0225;Cinkassé;Savanes;Marché local;Mobile Money;Livrée;22932
TXN000018;02/01/2023 10:00;Haricot;63;2360;CLI0423;Lomé;Maritime;Coopérative;Crédit;Livrée;148680
TXN000019;02/01/2023 12:00;Soja;16;1039;CLI0191;Kpalimé;Plateaux;Export;Virement;En cours;16624
TXN000020;02/01/2023 14:00;Haricot;25;388;CLI0079;Bassar;Centrale;Marché local;Crédit;Livrée;9700
TXN000021;02/01/2023 16:00;Sorgho;22;476;CLI0365;Kara;Kara;Vente directe;Crédit;En cours;10472
TXN000022;02/01/2023 18:00;Riz;91;1960;CLI0022;Tchamba;Centrale;Vente directe;Chèque;Livrée;178360
TXN000023;02/01/2023 20:00;Sorgho;88;2350;CLI0330;Dapaong;Savanes;Coopérative;Espèces;Livrée;206800
TXN000024;02/01/2023 22:00;Igname;76;2354;CLI0156;Sokodé;Centrale;Coopérative;Virement;Retardée;178904
TXN000025;03/01/2023 00:00;Arachide;18;2139;CLI0056;Atakpamé;Plateaux;Coopérative;Chèque;Retardée;38502
TXN000026;03/01/2023 02:00;Riz;45;2177;CLI0248;Dapaong;Savanes;Vente directe;Espèces;Livrée;97965
TXN000027;03/01/2023 04:00;Soja;80;2420;CLI0261;Sokodé;Centrale;Vente directe;Virement;Livrée;193600
TXN000028;03/01/2023 06:00;Sorgho;68;1198;CLI0435;Tchamba;Centrale;Export;Chèque;Livrée;81464
TXN000029;03/01/2023 08:00;Manioc;12;921;CLI0478;Bassar;Centrale;Coopérative;Mobile Money;Livrée;11052
TXN000030;03/01/2023 10:00;Riz;49;1414;CLI0381;Lomé;Maritime;Grossiste;Crédit;Livrée;69286
TXN000031;03/01/2023 12:00;Soja;33;1893;CLI0103;Sokodé;Centrale;Export;Mobile Money;En cours;62469
TXN000032;03/01/2023 14:00;Maïs;86;2472;CLI0029;Sokodé;Centrale;Grossiste;Virement;En cours;212592
TXN000033;03/01/2023 16:00;Riz;63;1907;CLI0483;Niamtougou;Kara;Marché local;Chèque;Livrée;120141
TXN000034;03/01/2023 18:00;Riz;18;2381;CLI0057;Tchamba;Centrale;Coopérative;Chèque;Livrée;42858
TXN000035;03/01/2023 20:00;Arachide;54;1260;CLI0062;Tône;Savanes;Export;Chèque;Livrée;68040
TXN000036;03/01/2023 22:00;Manioc;97;2340;CLI0048;Tchamba;Centrale;Export;Crédit;Annulée;226980
TXN000037;04/01/2023 00:00;Arachide;27;2322;CLI0367;Cinkassé;Savanes;Marché local;Chèque;Annulée;62694
TXN000038;04/01/2023 02:00;Haricot;83;2430;CLI0327;Cinkassé;Savanes;Marché local;Espèces;En cours;201690
TXN000039;04/01/2023 04:00;Riz;78;916;CLI0266;Bassar;Centrale;Marché local;Espèces;Livrée;71448
TXN000040;04/01/2023 06:00;Igname;25;658;CLI0176;Tchamba;Centrale;Export;Espèces;Livrée;16450
TXN000041;04/01/2023 08:00;Riz;34;1901;CLI0044;Lomé;Maritime;Vente directe;Mobile Money;Livrée;64634
TXN000042;04/01/2023 10:00;Haricot;88;826;CLI0219;Sokodé;Centrale;Grossiste;Virement;Livrée;72688
TXN000043;04/01/2023 12:00;Manioc;60;406;CLI0126;Kara;Kara;Grossiste;Mobile Money;Livrée;24360
TXN000044;04/01/2023 14:00;Manioc;54;1556;CLI0379;Kara;Kara;Marché local;Mobile Money;En cours;84024
TXN000045;04/01/2023 16:00;Igname;87;872;CLI0319;Dapaong;Savanes;Vente directe;Crédit;Livrée;75864
TXN000046;04/01/2023 18:00;Igname;5;2177;CLI0305;Niamtougou;Kara;Vente directe;Mobile Money;Annulée;10885
TXN000047;04/01/2023 20:00;Sorgho;36;2139;CLI0200;Cinkassé;Savanes;Marché local;Crédit;Livrée;77004
TXN000048;04/01/2023 22:00;Soja;54;472;CLI0085;Aného;Maritime;Coopérative;Espèces;Livrée;25488
TXN000049;05/01/2023 00:00;Soja;88;1249;CLI0041;Cinkassé;Savanes;Export;Espèces;Livrée;109912
TXN000050;05/01/2023 02:00;Sorgho;36;2077;CLI0363;Tchamba;Centrale;Coopérative;Mobile Money;Livrée;74772
TXN000051;05/01/2023 04:00;Soja;69;290;CLI0269;Dapaong;Savanes;Vente directe;Mobile Money;En cours;20010
TXN000052;05/01/2023 06:00;Riz;39;675;CLI0362;Aného;Maritime;Marché local;Espèces;Livrée;26325
TXN000053;05/01/2023 08:00;Sorgho;70;2246;CLI0367;Bassar;Centrale;Export;Chèque;Livrée;157220
TXN000054;05/01/2023 10:00;Sorgho;4;925;CLI0181;Kara;Kara;Grossiste;Espèces;En cours;3700
TXN000055;05/01/2023 12:00;Soja;74;1411;CLI0231;Dapaong;Savanes;Vente directe;Chèque;Livrée;104414
TXN000056;05/01/2023 14:00;Maïs;65;733;CLI0070;Niamtougou;Kara;Export;Espèces;Livrée;47645
TXN000057;05/01/2023 16:00;Igname;85;284;CLI0489;Tône;Savanes;Export;Virement;Livrée;24140
TXN000058;05/01/2023 18:00;Soja;40;1040;CLI0234;Kpalimé;Plateaux;Coopérative;Crédit;Livrée;41600
TXN000059;05/01/2023 20:00;Arachide;37;276;CLI0429;Tône;Savanes;Grossiste;Crédit;Livrée;10212
TXN000060;05/01/2023 22:00;Maïs;67;1400;CLI0294;Cinkassé;Savanes;Coopérative;Virement;Livrée;93800
TXN000061;06/01/2023 00:00;Sorgho;31;2190;CLI0348;Dapaong;Savanes;Coopérative;Chèque;Retardée;67890
TXN000062;06/01/2023 02:00;Maïs;91;2421;CLI0099;Bassar;Centrale;Coopérative;Mobile Money;Livrée;220311
TXN000063;06/01/2023 04:00;Riz;81;605;CLI0361;Kara;Kara;Coopérative;Mobile Money;Livrée;49005
TXN000064;06/01/2023 06:00;Manioc;87;2329;CLI0358;Dapaong;Savanes;Vente directe;Crédit;Livrée;202623
TXN000065;06/01/2023 08:00;Maïs;77;220;CLI0130;Atakpamé;Plateaux;Grossiste;Mobile Money;En cours;16940
TXN000066;06/01/2023 10:00;Arachide;47;597;CLI0317_DUP;Tchamba;Centrale;Coopérative;Chèque;En cours;28059
TXN000067;06/01/2023 12:00;Manioc;27;2472;CLI0383;Bassar;Centrale;Vente directe;Mobile Money;Livrée;66744
TXN000068;06/01/2023 14:00;Riz;51;2000;CLI0064;Tchamba;Centrale;Vente directe;Espèces;En cours;102000
TXN000069;06/01/2023 16:00;Arachide;20;2008;CLI0396;Tchamba;Centrale;Export;Virement;Livrée;40160
TXN000070;06/01/2023 18:00;Haricot;13;1093;CLI0181;Kara;Kara;Export;Crédit;En cours;14209
TXN000071;06/01/2023 20:00;Manioc;63;2144;CLI0189;Cinkassé;Savanes;Marché local;Mobile Money;Annulée;135072
TXN000072;06/01/2023 22:00;Haricot;44;637;CLI0183;Cinkassé;Savanes;Vente directe;Chèque;Livrée;28028
TXN000073;07/01/2023 00:00;Riz;24;1495;CLI0492;Kpalimé;Plateaux;Marché local;Mobile Money;Livrée;35880
TXN000074;07/01/2023 02:00;Manioc;3;1503;CLI0170;Lomé;Maritime;Vente directe;Virement;En cours;4509
TXN000075;07/01/2023 04:00;Manioc;10;422;CLI0322;Sokodé;Centrale;Coopérative;Espèces;Retardée;4220
TXN000076;07/01/2023 06:00;Soja;65;1810;CLI0172;Tône;Savanes;Coopérative;Crédit;Livrée;117650
TXN000077;07/01/2023 08:00;Arachide;49;2160;CLI0284;Kara;Kara;Marché local;Crédit;En cours;105840
TXN000078;07/01/2023 10:00;Igname;58;708;CLI0366;Tchamba;Centrale;Coopérative;Chèque;En cours;41064
TXN000079;07/01/2023 12:00;Arachide;77;1265;CLI0111;Dapaong;Savanes;Coopérative;Espèces;En cours;97405
TXN000080;07/01/2023 14:00;Maïs;78;1399;CLI0078;Cinkassé;Savanes;Export;Mobile Money;Annulée;109122
TXN000081;07/01/2023 16:00;Haricot;97;1468;CLI0253;Niamtougou;Kara;Coopérative;Mobile Money;Livrée;142396
TXN000082;07/01/2023 18:00;Haricot;2;1476;CLI0236;Niamtougou;Kara;Export;Chèque;Annulée;2952
TXN000083;07/01/2023 20:00;Arachide;66;1497;CLI0093;Dapaong;Savanes;Grossiste;Espèces;Livrée;98802
TXN000084;07/01/2023 22:00;Arachide;31;803;CLI0034;Tône;Savanes;Vente directe;Chèque;Livrée;24893
TXN000085;08/01/2023 00:00;Manioc;68;1234;CLI0481;Tône;Savanes;Export;Virement;Livrée;83912
TXN000086;08/01/2023 02:00;Haricot;98;2399;CLI0404;Niamtougou;Kara;Export;Virement;En cours;235102
TXN000087;08/01/2023 04:00;Sorgho;83;388;CLI0222;Dapaong;Savanes;Export;Mobile Money;Livrée;32204
TXN000088;08/01/2023 06:00;Igname;37;875;CLI0490;Cinkassé;Savanes;Vente directe;Virement;Livrée;32375
TXN000089;08/01/2023 08:00;Soja;73;837;CLI0340;Atakpamé;Plateaux;Vente directe;Chèque;En cours;61101
TXN000090;08/01/2023 10:00;Igname;24;2458;CLI0407_DUP;Cinkassé;Savanes;Vente directe;Crédit;Livrée;58992
TXN000091;08/01/2023 12:00;Maïs;77;2196;CLI0252;Niamtougou;Kara;Coopérative;Virement;En cours;169092
TXN000092;08/01/2023 14:00;Igname;44;2044;CLI0364;Tône;Savanes;Export;Chèque;En cours;89936
TXN000093;08/01/2023 16:00;Soja;94;246;CLI0142;Dapaong;Savanes;Vente directe;Crédit;Annulée;23124
TXN000094;08/01/2023 18:00;Maïs;83;1019;CLI0311;Tône;Savanes;Grossiste;Crédit;En cours;84577
TXN000095;08/01/2023 20:00;Riz;41;1280;CLI0385;Niamtougou;Kara;Vente directe;Virement;Livrée;52480
TXN000096;08/01/2023 22:00;Manioc;74;1477;CLI0312;Kpalimé;Plateaux;Marché local;Espèces;Livrée;109298
TXN000097;09/01/2023 00:00;Arachide;51;2417;CLI0279;Kpalimé;Plateaux;Marché local;Virement;Livrée;123267
TXN000098;09/01/2023 02:00;Arachide;42;1369;CLI0346;Tchamba;Centrale;Export;Virement;Livrée;57498
TXN000099;09/01/2023 04:00;Sorgho;78;1256;CLI0387;Niamtougou;Kara;Export;Espèces;En cours;97968
TXN000100;09/01/2023 06:00;Igname;40;1738;CLI0302;Tône;Savanes;Export;Virement;Livrée;69520
TXN000101;09/01/2023 08:00;Haricot;-6;995;CLI0378_DUP;Tône;Savanes;Coopérative;Chèque;En cours;47760
TXN000102;09/01/2023 10:00;Haricot;-5;247;CLI0247;Kpalimé;Plateaux;Marché local;Espèces;Livrée;20748
TXN000103;09/01/2023 12:00;Soja;-1;1621;CLI0488;Dapaong;Savanes;Marché local;Chèque;Annulée;6484
TXN000104;09/01/2023 14:00;Soja;-1;1418;CLI0239;Dapaong;Savanes;Export;Crédit;Livrée;85080
TXN000105;09/01/2023 16:00;Soja;-5;1960;CLI0349;Tône;Savanes;Marché local;Espèces;En cours;76440
TXN000106;09/01/2023 18:00;Haricot;-5;924;CLI0352;Dapaong;Savanes;Marché local;Crédit;Livrée;4620
TXN000107;09/01/2023 20:00;Arachide;96;1544;CLI0154;Cinkassé;Savanes;Coopérative;Mobile Money;Livrée;148224
TXN000108;09/01/2023 22:00;Haricot;6;2017;CLI0451_DUP;Kara;Kara;Grossiste;Mobile Money;Livrée;12102
TXN000109;10/01/2023 00:00;Soja;14;337;CLI0186;Tchamba;Centrale;Export;Chèque;Livrée;4718
TXN000110;10/01/2023 02:00;Manioc;70;554;CLI0425;Kpalimé;Plateaux;Grossiste;Crédit;Annulée;38780
TXN000111;10/01/2023 04:00;Maïs;78;2068;CLI0062;Atakpamé;Plateaux;Grossiste;Crédit;En cours;161304
TXN000112;10/01/2023 06:00;Arachide;12;1293;CLI0401;Sokodé;Centrale;Coopérative;Espèces;Livrée;15516
TXN000113;10/01/2023 08:00;Manioc;62;1010;CLI0059;Tône;Savanes;Marché local;Mobile Money;Annulée;62620
TXN000114;10/01/2023 10:00;Riz;27;1805;CLI0142;Sokodé;Centrale;Export;Chèque;En cours;48735
TXN000115;10/01/2023 12:00;Igname;54;1943;CLI0466;Kara;Kara;Vente directe;Chèque;Livrée;104922
